,Total Revenue,EBIT,Net Income,Free Cash Flow
2025,3897002600.0,877070140.0,-95007100.00000009,738511200.0
2026,3974942652.0,938465049.8000001,-475035500.0000005,790206984.0
2027,4133940358.08,985388302.2900001,-508287985.00000054,845521472.88
2028,4319967674.1936,1034657717.4045001,-538785264.1000006,887797546.524
2029,4471166542.790376,1076044026.10068,-565724527.3050007,923309448.38496
