,0,1,2,3,4
Ticker,LULU,BIRK,NKE,CROX,DECK
P/E,11.397982740397504,41.95433001424295,23.398332762450533,4.6840816964349035,15.208232204738119
P/S,1.9534110047849031,4.454246180445936,1.6264491386626414,1.084859340956797,2.946987503020222
P/B,4.783241682722033,3.0622763261481065,5.700388493326894,2.42421561612131,5.84658187558427
EV/CFO,9.793912759089757,21.900120455489905,23.347007345140145,6.198078543590141,14.33143287309868
