Date,Ticker,Total Revenue,Cost Of Revenue,Operating Expense,EBIT,Interest Expense,Pretax Income,Tax Provision,Net Income,Diluted Average Shares,Depreciation And Amortization In Income Statement,Cash And Cash Equivalents,Accounts Receivable,Inventory,Accounts Payable,Working Capital,Net PPE,Gross PPE,Accumulated Depreciation,Stock Based Compensation,Total Debt,Long Term Debt,Current Debt,Operating Cash Flow,Capital Expenditure,Free Cash Flow,Change In Working Capital,Stockholders Equity,Invested Capital,Total Assets
2023-12-31,INTC,54228000000.0,32517000000.0,21680000000.0,1640000000.0,878000000.0,762000000.0,-913000000.0,1689000000.0,4212000000.0,,7079000000.0,3402000000.0,11127000000.0,8578000000.0,15216000000.0,96647000000.0,194657000000.0,-98010000000.0,3229000000.0,49266000000.0,46978000000.0,2288000000.0,11471000000.0,-25750000000.0,-14279000000.0,-569000000.0,105590000000.0,154856000000.0,191572000000.0
2022-12-31,INTC,63054000000.0,36188000000.0,24530000000.0,8264000000.0,496000000.0,7768000000.0,-249000000.0,8014000000.0,4123000000.0,,11144000000.0,4133000000.0,13224000000.0,9595000000.0,18252000000.0,80860000000.0,174246000000.0,-93386000000.0,3128000000.0,42007000000.0,37684000000.0,4323000000.0,15433000000.0,-24844000000.0,-9411000000.0,339000000.0,101423000000.0,143430000000.0,182103000000.0
2021-12-31,INTC,79024000000.0,35209000000.0,21733000000.0,22300000000.0,597000000.0,21703000000.0,1835000000.0,19868000000.0,4090000000.0,,4827000000.0,9457000000.0,10776000000.0,5747000000.0,31096000000.0,63245000000.0,148539000000.0,-85294000000.0,2036000000.0,38110000000.0,33510000000.0,4600000000.0,29456000000.0,-20329000000.0,9127000000.0,-5408000000.0,95391000000.0,133501000000.0,168406000000.0
2020-12-31,INTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-30,AAPL,416161000000.0,220960000000.0,62151000000.0,133050000000.0,,132729000000.0,20719000000.0,112010000000.0,15004697000.0,,35934000000.0,39777000000.0,5718000000.0,69860000000.0,-17674000000.0,49834000000.0,125848000000.0,-76014000000.0,12863000000.0,98657000000.0,78328000000.0,20329000000.0,111482000000.0,-12715000000.0,98767000000.0,-25000000000.0,73733000000.0,172390000000.0,359241000000.0
2024-09-30,AAPL,391035000000.0,210352000000.0,57467000000.0,123216000000.0,,123485000000.0,29749000000.0,93736000000.0,15408095000.0,,29943000000.0,33410000000.0,7286000000.0,68960000000.0,-23405000000.0,45680000000.0,119128000000.0,-73448000000.0,11688000000.0,106629000000.0,85750000000.0,20879000000.0,118254000000.0,-9447000000.0,108807000000.0,3651000000.0,56950000000.0,163579000000.0,364980000000.0
2023-09-30,AAPL,383285000000.0,214137000000.0,54847000000.0,114301000000.0,3933000000.0,113736000000.0,16741000000.0,96995000000.0,15812547000.0,,29965000000.0,29508000000.0,6331000000.0,62611000000.0,-1742000000.0,43715000000.0,114599000000.0,-70884000000.0,10833000000.0,111088000000.0,95281000000.0,15807000000.0,110543000000.0,-10959000000.0,99584000000.0,-6577000000.0,62146000000.0,173234000000.0,352583000000.0
2022-09-30,AAPL,394328000000.0,223546000000.0,51345000000.0,119437000000.0,2931000000.0,119103000000.0,19300000000.0,99803000000.0,16325819000.0,,23646000000.0,28184000000.0,4946000000.0,64115000000.0,-18577000000.0,42117000000.0,114457000000.0,-72340000000.0,9038000000.0,132480000000.0,98959000000.0,21110000000.0,122151000000.0,-10708000000.0,111443000000.0,1200000000.0,50672000000.0,170741000000.0,352755000000.0
2021-09-30,AAPL,,,,,2645000000.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30,MSFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-30,MSFT,198270000000.0,62650000000.0,52237000000.0,85779000000.0,2063000000.0,83716000000.0,10978000000.0,72738000000.0,7540000000.0,,13931000000.0,44261000000.0,3742000000.0,19000000000.0,74602000000.0,87546000000.0,147206000000.0,-59660000000.0,7502000000.0,61270000000.0,47032000000.0,2749000000.0,89035000000.0,-23886000000.0,65149000000.0,446000000.0,166542000000.0,216323000000.0,364840000000.0
