,0,1,2,3,4
Ticker,CROX,DECK,BIRK,LULU,NKE
P/E,4.710857127982853,15.26857657766879,40.898514412205245,11.445505257018766,23.475920451006253
P/S,1.0910606796407596,2.958680782719678,4.342151371375332,1.9615555167619243,1.631842361782572
P/B,2.4380730642816038,5.869780384938963,2.985211595956962,4.803184832974842,5.719290693392048
EV/CFO,6.223709697103835,14.387246058245362,21.42823823225826,9.831856449745466,23.41454514110036
