,0,1,2,3,4
Ticker,LMT,BA,GD,NOC,RTX
P/E,20.181391947592214,-13.267741002948142,23.998723520442873,18.92767607572648,48.17117914123078
P/S,1.5158130629668236,2.3570650424979807,1.9021538342341129,1.9253800584915153,2.848339186259701
P/B,17.004248765569564,-40.118959936499024,4.113818263804331,5.167045123615588,3.8228806639443405
EV/CFO,18.35311351582789,-17.46464366157601,24.669059424687486,21.762561517794516,38.114570361815304
