,0,1,2,3
Ticker,NET,MSFT,AMZN,GOOGL
P/E,-835.8531078941431,35.91089610494305,41.12398753802238,18.425970973026242
P/S,39.44908913856066,12.980357982133437,3.819232918812572,5.270504265144768
P/B,62.9565684816383,10.646585008569842,8.52017349250883,5.674752869650433
EV/CFO,176.98029830023071,27.301790309767487,22.156372823362272,14.926155530989405
