,0,1,2,3,4
Ticker,NVDA,AMD,INTC,AMZN,MSFT
P/E,60.83253483819386,216.24876079290397,-10.531333934322657,41.41448264844804,35.26423535831546
P/S,33.973770577159385,13.76242840648266,3.719811289281855,3.846211540169901,12.746615890048346
P/B,55.888602102784276,6.164261681162372,1.9897824042727488,8.580359016523587,10.454868026889505
EV/CFO,69.33709589801009,117.42065651468444,29.86687973843578,22.304903198695598,26.81816964357148
